index	word	idf	weight
666	150px	8.86933	0.55740574
667	150万	8.02025	-1.14505247
668	150元	7.90902	-1.54410008
669	151	7.11363	-0.47761664
670	152	7.25242	0.20269308
671	152cm	9.20831	-0.07661692
672	152mb	9.26237	0.91608078
673	153	7.33246	-0.36324475
674	153bytes	9.26237	0.11075178
675	153cm	8.78545	-0.32337174
676	154	7.55762	-1.53257339
677	154b	8.68701	0.10030428
678	154bytes	9.38016	0.00180705
679	155	6.84778	2.24661483
680	155b	9.40121	0.03525828
681	155cm	8.89465	-0.76916667
682	156	7.40781	0.11843140
683	156b	9.19091	0.06483242
684	156cm	9.10822	-0.06035735
685	157	7.04277	2.08107335
686	157157	9.61377	0.19768581
687	15725	8.67665	-0.06314253
688	15778	9.61377	0.09832787
689	157cm	9.46717	-0.01181095
690	158	6.97284	-1.93494777
691	1580	9.24402	-0.14374000
692	15816	9.58780	0.09686732
693	158b	8.83252	0.01630012
694	158cm	8.47223	0.36799165
695	158tk	9.61377	0.09832787
696	159	7.18757	0.18221463
697	1598	8.89465	0.29150573
698	15cm	8.58792	-0.12423336
699	15g	8.56001	-0.49946321
700	15gb	9.00286	-0.53001094
701	15kb	9.51369	0.17976396
702	15kw	7.81328	0.78718831
703	15mb	9.28106	0.92574378
704	15mm	9.64044	0.41151221
705	15p	6.73221	1.59973792
706	15pｋｏｕ９７	8.60697	0.00697341
707	15w	9.78562	-0.43609245
708	15万	7.04478	-0.76047926
709	15个	7.01695	-0.84657117
710	15元	7.95304	0.84554181
711	15天	7.41947	-0.71351130
712	15年	6.79616	-1.45243641
713	15日	5.80477	-1.72902031
714	15次	8.98868	-0.22477628
715	16	3.81811	0.06796073
716	160	5.94081	-1.43789335
717	1600	7.50196	0.67736579
718	16000	9.64044	-0.31112443
719	1600万	8.78545	-0.43247392
720	1600元	9.04666	0.22486226
721	160666	9.66784	0.09289099
722	1608	8.97469	-0.00766669
723	160b	8.55088	0.02297957
724	160bytes	9.30011	0.00327170
725	160cm	7.66037	-0.46913223
726	160ff	9.58780	0.10188823
727	160gj	9.58780	0.09700507
728	160kk	9.66784	0.27867297
729	160px	9.01725	-0.71716953
730	160元	9.31953	-0.38729719
731	161	7.67163	0.22160030
732	162	7.17831	-0.10254842
733	162cm	8.49777	-0.49374295
734	163	6.03318	-2.91638402
735	16378	9.61377	0.19768581
736	163cm	8.62638	0.70626430
737	164	7.27247	0.04257329
738	164cm	9.06170	0.40344272
739	165	6.44896	0.59941655
740	165cm	7.26490	1.05033278
741	166	7.26994	-2.15242060
742	1660	9.30011	0.21157448
743	166663	9.61377	0.09267407
744	166cm	8.79701	0.37148761
745	167	7.22308	0.21357616
746	1671	8.89465	-0.34338584
747	16734	8.69748	-0.03993436
748	167cm	8.54183	0.03882834
